source,target,score,edge_type
5063,6083,0.3377419564519216,ingr-ingr
510,2837,0.1051474005186617,ingr-ingr
438,518,0.171218726160572,ingr-ingr
1411,2331,0.1690702865153387,ingr-ingr
3727,3840,0.123822067747383,ingr-ingr
4620,5919,0.1999218287032425,ingr-ingr
854,1681,0.113329027072289,ingr-ingr
547,4724,0.152154436471317,ingr-ingr
1089,4015,0.1993210962245213,ingr-ingr
159,3720,0.0629201069487577,ingr-ingr
781,2188,0.1772777820900417,ingr-ingr
3720,6159,0.1657717052743848,ingr-ingr
838,6131,0.2081175702744781,ingr-ingr
2396,4076,0.170577434293218,ingr-ingr
3860,4204,0.1015715753877117,ingr-ingr
1368,6478,0.0666093906496579,ingr-ingr
4084,6212,0.3913021260680697,ingr-ingr
4309,5108,0.2735811860122463,ingr-ingr
4821,6787,0.139518516875288,ingr-ingr
86,1368,0.4031405358584605,ingr-ingr
4460,5431,0.1964991824705468,ingr-ingr
1489,3492,0.198352784162416,ingr-ingr
1005,3717,0.2730876061535891,ingr-ingr
4724,6131,0.2403542929566673,ingr-ingr
3125,3720,0.0708550575406399,ingr-ingr
3290,6821,0.0840312915291092,ingr-ingr
158,3596,0.0728216691080962,ingr-ingr
805,6766,0.1446201129718309,ingr-ingr
114,3717,0.1426080217098976,ingr-ingr
2793,5203,0.1041240741945755,ingr-ingr
2981,7051,0.3712186407193494,ingr-ingr
328,4545,0.5150907888031839,ingr-ingr
5190,5956,0.1308005584928816,ingr-ingr
158,4588,0.0823649731500642,ingr-ingr
148,6172,0.0528863622657213,ingr-ingr
336,5579,0.394868519671356,ingr-ingr
1112,1429,0.1137588386526646,ingr-ingr
781,5192,0.0793777014559106,ingr-ingr
2167,2396,0.0852789780702266,ingr-ingr
1368,6821,0.0775092905775112,ingr-ingr
3290,5192,0.0425286630436616,ingr-ingr
1368,4433,0.2566215497663715,ingr-ingr
1411,6091,0.3117054448802516,ingr-ingr
1005,7083,0.0948812350056381,ingr-ingr
2890,4776,0.1756581409740941,ingr-ingr
805,6172,0.1430237263163609,ingr-ingr
1005,6079,0.1263870447218093,ingr-ingr
2757,4052,0.112076901274045,ingr-ingr
5809,6918,0.2193166903665441,ingr-ingr
838,3377,0.1870875175135051,ingr-ingr
2167,3717,0.1956126478439322,ingr-ingr
1089,4123,0.1915525400575314,ingr-ingr
4701,4948,0.204799704401904,ingr-ingr
991,4350,0.3436533714250295,ingr-ingr
4150,6131,0.2119486014892045,ingr-ingr
2396,5879,0.0638249002773148,ingr-ingr
196,4026,0.2641653458411067,ingr-ingr
805,5800,0.2230298624545323,ingr-ingr
707,1895,0.2285844601960029,ingr-ingr
