liquor_id,index
39,34
40,35
75,66
96,87
100,91
120,110
121,111
122,112
123,113
150,140
159,149
167,157
177,167
184,173
194,183
262,247
263,248
311,293
423,397
519,488
521,490
524,493
562,530
652,608
653,609
662,618
755,703
761,708
777,723
827,771
1069,1001
1079,1011
1112,1041
1115,1044
1137,1065
1246,1169
1251,1174
1300,1218
1317,1235
1391,1307
1441,1351
1448,1358
1462,1372
1465,1374
1467,1376
1468,1377
1627,1531
1805,1697
1821,1712
1823,1714
1830,1721
2102,1973
2112,1982
2119,1989
2135,2004
2149,2015
2151,2017
2152,2018
2153,2019
2204,2065
2413,2256
2780,2598
2836,2654
2844,2662
2893,2708
2894,2709
2898,2712
2905,2719
3204,3001
3449,3233
3488,3271
3504,3285
3543,3321
3583,3359
3635,3401
3736,3493
3791,3545
3822,3576
3870,3620
4026,3760
4037,3769
4091,3821
4152,3877
4164,3887
4183,3906
4188,3911
4328,4039
4507,4204
4519,4214
4664,4352
4672,4360
4702,4388
4706,4392
4708,4394
4834,4508
4861,4533
4876,4547
4877,4548
4930,4599
4937,4605
4951,4618
5016,4680
5019,4683
5061,4723
5215,4867
5226,4877
5270,4918
5342,4984
5345,4987
5450,5076
5456,5082
5534,5158
5556,5178
5558,5180
5576,5197
5587,5207
5658,5276
5659,5277
5660,5278
5674,5292
5676,5294
5760,5372
5774,5385
5782,5393
5856,5464
5965,5571
6030,5631
6031,5632
6040,5641
6088,5687
6128,5725
6144,5741
6153,5750
6247,5839
6256,5848
6270,5861
6280,5871
6282,5873
6284,5875
6366,5956
6378,5968
6656,6231
6664,6239
6749,6321
6763,6334
6804,6370
6858,6423
6898,6462
6903,6467
6911,6475
6915,6478
6918,6481
6921,6484
7017,6574
7037,6592
